Area_num, Area_key, x_coord, y_coord, est_Mikro, se_Mikro, t_Mikro, est_Datang, se_Datang, t_Datang, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, ACEH, 96.9117358, 4.224068541,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   8943786.000000,  15603492.797651,  -6659706.797651,               -∞,         0.890141,         0.009973,                ∞
    1, BALI, 115.1320166, -8.369723861,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  20833503.000000,  33705186.982546, -12871683.982546,               -∞,         0.876278,         0.069159,                ∞
    2, BANTEN, 106.109413, -6.456412896,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  44399501.000000,  47655122.574363,  -3255621.574363,               -∞,         0.887472,         0.799540,                ∞
    3, BENGKULU, 102.3362913, -3.532763097,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   2957142.000000,   5789935.748606,  -2832793.748606,               -∞,         0.889127,         0.001251,                ∞
    4, YOGYAKARTA, 110.4453146, -7.895025939,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  30437069.000000,  13833188.058745,  16603880.941255,                ∞,         0.883988,         0.008916,                ∞
    5, JAKARTA RAYA, 106.8344733, -6.200316497,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  63622596.000000,  42181089.422728,  21441506.577272,                ∞,         0.886931,         0.025083,                ∞
    6, GORONTALO, 122.3761589, 0.686882429,        22.057941,         0.000000, 568180571705753000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,         6.826495,         0.000000,               -∞,   1905921.000000,   3092285.546169,  -1186364.546169,               -∞,         0.845604,         0.000775,                ∞
    7, JAMBI, 102.7239159, -1.699473234,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   4783187.000000,   6256906.877820,  -1473719.877820,               -∞,         0.888658,         0.002473,                ∞
    8, JAWA BARAT, 107.6027432, -6.920219755,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞, 156224371.000000, 194188037.531076, -37963666.531076,               -∞,         0.886475,         0.613121,                ∞
    9, JAWA TENGAH, 110.2009114, -7.259843971,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞, 115570236.000000, 103811111.012816,  11759124.987184,                ∞,         0.884130,         0.160713,                ∞
   10, JAWA TIMUR, 112.7330744, -7.720599945,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞, 207104573.000000, 155654644.695842,  51449928.304158,                ∞,         0.880861,         0.351323,                ∞
   11, KALIMANTAN BARAT, 111.1210243, -0.086486054,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   4711038.000000,   9075553.296818,  -4364515.296818,               -∞,         0.880772,         0.006976,                ∞
   12, KALIMANTAN SELATAN, 115.4396806, -2.993093037,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   7869846.000000,   8580374.820139,   -710528.820139,               -∞,         0.872439,         0.007187,                ∞
   13, KALIMANTAN TENGAH, 113.4180376, -1.602215486,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   4023322.000000,   5177115.390234,  -1153793.390234,               -∞,         0.877151,         0.001519,                ∞
   14, KALIMANTAN TIMUR, 116.4703439, 0.460050815,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   7903336.000000,  20139181.339676, -12235845.339676,               -∞,         0.864741,         0.025430,                ∞
   15, KALIMANTAN UTARA, 116.2156591, 2.888509934,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,    588871.000000,   1171860.553650,   -582989.553650,               -∞,         0.862979,         0.001293,                ∞
   16, BANGKA BELITUNG, 106.5522288, -2.448622166,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   2382969.000000,   4101302.988072,  -1718333.988072,               -∞,         0.886434,         0.002144,                ∞
   17, RIAU, 101.8083075, 0.509823,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   2295496.000000,   8349545.286315,  -6054049.286315,               -∞,         0.888741,         0.009439,                ∞
   18, LAMPUNG, 105.022966, -4.917823395,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  13760697.000000,  15717341.503712,  -1956644.503712,               -∞,         0.887914,         0.005458,                ∞
   19, MALUKU, 129.8314507, -4.72927458,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   1061844.000000,   2062157.844679,  -1000313.844679,               -∞,         0.851300,         0.001384,                ∞
   20, MALUKU UTARA, 127.5401841, 0.210447343,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   1808020.000000,   1103846.564010,    704173.435990,                ∞,         0.841915,         0.007003,                ∞
   21, NUSA TENGGARA BARAT, 117.5076501, -8.607530688,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  12922404.000000,  14695848.045742,  -1773444.045742,               -∞,         0.871491,         0.014012,                ∞
   22, NUSA TENGGARA TIMUR, 122.1802018, -9.263915584,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   5064324.000000,   6009553.001461,   -945229.001461,               -∞,         0.865790,         0.009837,                ∞
   23, PAPUA, 138.6874214, -4.65920601,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   1588351.000000,   2536092.736103,   -947741.736103,               -∞,         0.845452,         0.071597,                ∞
   24, PAPUA BARAT, 132.9674104, -2.037397532,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,    762438.000000,   7860878.285513,  -7098440.285513,               -∞,         0.843700,        -0.039198,               -∞
   25, RIAU, 101.8083075, 0.509823,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  11147053.000000,  14730526.302368,  -3583473.302368,               -∞,         0.888741,         0.013440,                ∞
   26, SULAWESI BARAT, 119.3441375, -2.461449041,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   3510961.000000,   2443133.296000,   1067827.704000,                ∞,         0.859318,         0.000152,                ∞
   27, SULAWESI SELATAN, 120.1615685, -3.730741165,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  25426960.000000,  79104260.680202, -53677300.680202,               -∞,         0.860496,         0.952511,                ∞
   28, SULAWESI TENGAH, 121.2021618, -1.00387145,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   6289067.000000,   6606433.034357,   -317366.034357,               -∞,         0.852522,         0.004996,                ∞
   29, SULAWESI TENGGARA, 122.0711683, -4.125627862,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  11069947.000000,   5528561.291633,   5541385.708367,                ∞,         0.858389,         0.006192,                ∞
   30, SULAWESI UTARA, 124.5219921, 1.26130891,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,   5398846.000000,   6766111.849557,  -1367265.849557,               -∞,         0.841187,         0.012798,                ∞
   31, SUMATERA BARAT, 100.4667004, -0.85159709,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  14692245.000000,  15575754.378108,   -883509.378108,               -∞,         0.889559,         0.013058,                ∞
   32, SUMATERA SELATAN, 104.1703736, -3.217322205,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  10994493.000000,  15540780.460114,  -4546287.460114,               -∞,         0.888135,         0.010206,                ∞
   33, SUMATERA UTARA, 99.05359488, 2.190383617,        22.057941,         0.000000,                ∞,         6.826495,         0.000000,                ∞,  27613125.000000,  31124706.166698,  -3511581.166698,               -∞,         0.889666,         0.008086,                ∞
