price,buying,maint,doors,persons,lug_boot,safety,,,,unacc,acc,good,vgood,,,,,,,,,,,,
vhigh,vhigh,2,2,small,low,unacc,,,Total,1210,384,69,65,,,,,,,,,,,,
vhigh,vhigh,2,2,small,med,unacc,,,Grand total,1728,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,med,low,unacc,,,,unacc,acc,good,vgood,,,,,,,,,,,,
vhigh,vhigh,2,2,med,med,unacc,,,total P Prior,0.700231481,0.222222222,0.039930556,0.037615741,,,,,,,,,,,,
vhigh,vhigh,2,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,high,unacc,,,p(price=vhigh|unacc),0.297520661,,p(buying=vhigh|unacc),0.297520661,,p(maint=2|unacc),0.269421488,,p(doors=2|unacc),0.476033058,,p(persons=small|unacc),0.371900826,,p(lug_boot=low|unacc),0.476033058
vhigh,vhigh,2,4,small,low,unacc,,,p(price=high|unacc),0.267768595,,p(buying=high|unacc),0.259504132,,p(maint=3|unacc),0.247933884,,p(doors=4|unacc),0.25785124,,p(persons=med|unacc),0.323966942,,p(lug_boot=med|unacc),0.295041322
vhigh,vhigh,2,4,small,med,unacc,,,p(price=med|unacc),0.221487603,,p(buying=med|unacc),0.221487603,,p(maint=4|unacc),0.241322314,,p(doors=more|unacc),0.266115702,,p(persons=big|unacc),0.304132231,,p(lug_boot=high|unacc),0.22892562
vhigh,vhigh,2,4,small,high,unacc,,,p(price=low|unacc),0.21322314,,p(buying=low|unacc),0.221487603,,p(maint=5more|unacc),0.241322314,,,,,,,,,
vhigh,vhigh,2,4,med,low,unacc,,sum,,1,,,1,,,1,,,1,,,1,,,1
vhigh,vhigh,2,4,med,med,unacc,,,p(price=vhigh|acc),0.1875,,p(buying=vhigh|acc),0.1875,,p(maint=2|acc),0.2109375,,p(doors=2|acc),0,,p(persons=small|acc),0.2734375,,p(lug_boot=low|acc),0
vhigh,vhigh,2,4,med,high,unacc,,,p(price=high|acc),0.28125,,p(buying=high|acc),0.2734375,,p(maint=3|acc),0.2578125,,p(doors=4|acc),0.515625,,p(persons=med|acc),0.3515625,,p(lug_boot=med|acc),0.46875
vhigh,vhigh,2,4,big,low,unacc,,,p(price=med|acc),0.299479167,,p(buying=med|acc),0.299479167,,p(maint=4|\acc),0.265625,,p(doors=more|acc),0.484375,,p(persons=big|acc),0.375,,p(lug_boot=high|acc),0.53125
vhigh,vhigh,2,4,big,med,unacc,,,p(price=low|acc),0.231770833,,p(buying=low|acc),0.239583333,,p(maint=5more|acc),0.265625,,,,,,,,,
vhigh,vhigh,2,4,big,high,unacc,,sum,,1,,,1,,,1,,,1,,,1,,,1
vhigh,vhigh,2,more,small,low,unacc,,,p(price=vhigh|good),0,,p(buying=vhigh|good),0,,p(maint=2|good),0.217391304,,p(doors=2|good),0,,p(persons=small|good),0.304347826,,p(lug_boot=low|good),0
vhigh,vhigh,2,more,small,med,unacc,,,p(price=high|good),0,,p(buying=high|good),0,,p(maint=3|good),0.260869565,,p(doors=4|good),0.52173913,,p(persons=med|good),0.347826087,,p(lug_boot=med|good),0.565217391
vhigh,vhigh,2,more,small,high,unacc,,,p(price=med|good),0.333333333,,p(buying=med|good),0.333333333,,p(maint=4|good),0.260869565,,p(doors=more|good),0.47826087,,p(persons=big|good),0.347826087,,p(lug_boot=high|good),0.434782609
vhigh,vhigh,2,more,med,low,unacc,,,p(price=low|good),0.666666667,,p(buying=low|good),0.666666667,,p(maint=5more|good),0.260869565,,,,,,,,,
vhigh,vhigh,2,more,med,med,unacc,,sum,,1,,,1,,,1,,,1,,,1,,,1
vhigh,vhigh,2,more,med,high,unacc,,,p(price=vhigh|vgood),0,,p(buying=vhigh|vgood),0,,p(maint=2|vgood),0.153846154,,p(doors=2|vgood),0,,p(persons=small|vgood),0,,p(lug_boot=low|vgood),0
vhigh,vhigh,2,more,big,low,unacc,,,p(price=high|vgood),0,,p(buying=high|vgood),0.2,,p(maint=3|vgood),0.230769231,,p(doors=4|vgood),0.461538462,,p(persons=med|vgood),0.384615385,,p(lug_boot=med|vgood)),0
vhigh,vhigh,2,more,big,med,unacc,,,p(price=med|vgood),0.4,,p(buying=med|vgood),0.4,,p(maint=4|vgood),0.307692308,,p(doors=more|vgood),0.538461538,,p(persons=big|vgood),0.615384615,,p(lug_boot=high|vgood)),1
vhigh,vhigh,2,more,big,high,unacc,,,p(price=low|vgood),0.6,,p(buying=low|vgood),0.4,,p(maint=5more|vgood),0.307692308,,,,,,,,,
vhigh,vhigh,3,2,small,low,unacc,,sum,,1,,,1,,,1,,,1,,,1,,,1
vhigh,vhigh,3,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,2,med,low,unacc,,,,unacc,acc,good,vgood,,,,,,,,,,,,
vhigh,vhigh,3,2,med,med,unacc,,,Posterior probability,1.49385E-12,0,0,0,,,,,,,,,,,,
vhigh,vhigh,3,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,small,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,med,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,big,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,4,big,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,med,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,big,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,2,more,big,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,small,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,med,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,big,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,4,big,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,small,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,med,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,med,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,big,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,3,more,big,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,small,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,med,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,med,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,big,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,2,big,high,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,small,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,med,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,med,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,big,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,big,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,4,big,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,small,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,small,med,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,small,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,med,low,unacc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,med,med,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,med,high,acc,,,,,,,,,,,,,,,,,,,
vhigh,med,4,more,big,low,unacc,,,,,,,,,,,,,,,,,,,
