Kabupaten/Kota,SD,SMP,SMA,SMK,PT
Pacitan,172,99,37,26,5
Ponorogo,304,139,78,34,8
Trenggalek,157,78,33,26,5
Tulungagung,269,105,38,30,11
Blitar,248,120,40,26,4
Kediri,343,147,71,43,11
Malang,390,306,121,116,20
Lumajang,205,159,87,35,10
Jember,248,221,130,129,13
Banyuwangi,217,167,91,67,17
Bondowoso,217,138,75,60,12
Situbondo,136,103,62,41,7
Probolinggo,326,240,141,59,9
Pasuruan,365,213,108,59,17
Sidoarjo,346,168,95,58,17
Mojokerto,301,152,76,54,14
Jombang,306,167,86,53,13
Nganjuk,282,114,53,45,10
Madiun,205,78,33,19,1
Magetan,235,76,32,24,10
Ngawi,217,89,35,32,10
Bojonegoro,428,175,86,51,16
Tuban,326,156,74,37,12
Lamongan,469,221,104,66,14
Gresik,344,180,107,53,17
Bangkalan,276,198,100,59,14
Sampang,186,168,119,69,10
Pamekasan,188,152,101,77,14
Sumenep,332,251,166,65,16
Kota Kediri,42,29,14,13,14
Kota Blitar,21,15,11,10,6
Kota Malang,57,54,37,34,32
Kota Probolinggo,29,20,12,13,3
Kota Pasuruan,34,25,12,11,3
Kota Mojokerto,18,13,10,7,2
Kota Madiun,27,17,8,15,10
Kota Surabaya,152,135,93,66,52
Kota Batu,24,17,11,8,6
Jawa Timur,8442,4905,2587,1690,465